Epoch 44/400: [===============] 100% | Error 41.5181 | Acc: 0.541111 AT 10.9139 | val_Acc 0.53 | val_AT 10.9697| nb_modif 4 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 41.5645 | Acc: 0.563889 AT 10.4156 | val_Acc 0.595 | val_AT 9.84485| nb_modif 3 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 41.5682 | Acc: 0.587222 AT 9.99 | val_Acc 0.555 | val_AT 10.4492| nb_modif 3 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 41.5719 | Acc: 0.621667 AT 9.33444 | val_Acc 0.6 | val_AT 9.69225| nb_modif 3 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 41.5978 | Acc: 0.641111 AT 8.93333 | val_Acc 0.645 | val_AT 8.87846| nb_modif 3 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 41.6014 | Acc: 0.670556 AT 8.34222 | val_Acc 0.62 | val_AT 8.98939| nb_modif 3 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 41.605 | Acc: 0.650556 AT 8.50333 | val_Acc 0.645 | val_AT 8.52495| nb_modif 3 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 41.6132 | Acc: 0.668889 AT 8.17667 | val_Acc 0.66 | val_AT 8.23762| nb_modif 3 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 41.6167 | Acc: 0.658333 AT 8.31667 | val_Acc 0.62 | val_AT 8.82119| nb_modif 3 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 41.6201 | Acc: 0.638333 AT 8.57556 | val_Acc 0.635 | val_AT 8.53411| nb_modif 3 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 41.6424 | Acc: 0.661667 AT 8.07778 | val_Acc 0.64 | val_AT 8.43267| nb_modif 3 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 41.6724 | Acc: 0.641667 AT 8.36056 | val_Acc 0.65 | val_AT 8.17716| nb_modif 2 | elaps: 0s
Epoch 56/400: [===============] 100% | Error 41.6759 | Acc: 0.653333 AT 8.06056 | val_Acc 0.65 | val_AT 8.06589| nb_modif 3 | elaps: 0s
Epoch 57/400: [===============] 100% | Error 41.6806 | Acc: 0.656111 AT 7.96556 | val_Acc 0.635 | val_AT 8.29033| nb_modif 4 | elaps: 0s
Epoch 58/400: [===============] 100% | Error 41.6839 | Acc: 0.649444 AT 8.05611 | val_Acc 0.63 | val_AT 8.38645| nb_modif 3 | elaps: 0s
Epoch 59/400: [===============] 100% | Error 41.703 | Acc: 0.601111 AT 8.89333 | val_Acc 0.585 | val_AT 9.15193| nb_modif 5 | elaps: 0s
Epoch 60/400: [===============] 100% | Error 41.7182 | Acc: 0.558333 AT 9.66389 | val_Acc 0.565 | val_AT 9.49576| nb_modif 3 | elaps: 0s
Epoch 61/400: [===============] 100% | Error 41.7447 | Acc: 0.543333 AT 9.88667 | val_Acc 0.515 | val_AT 10.3475| nb_modif 3 | elaps: 0s
Epoch 62/400: [===============] 100% | Error 41.7495 | Acc: 0.542778 AT 9.87333 | val_Acc 0.505 | val_AT 10.5267| nb_modif 4 | elaps: 0s
Epoch 63/400: [===============] 100% | Error 41.7745 | Acc: 0.540556 AT 9.87944 | val_Acc 0.555 | val_AT 9.66763| nb_modif 3 | elaps: 0s
Epoch 64/400: [===============] 100% | Error 41.8015 | Acc: 0.545 AT 9.79556 | val_Acc 0.51 | val_AT 10.4183| nb_modif 3 | elaps: 0s
Epoch 65/400: [===============] 100% | Error 41.8049 | Acc: 0.52 AT 10.2261 | val_Acc 0.54 | val_AT 9.78709| nb_modif 3 | elaps: 0s
Epoch 66/400: [===============] 100% | Error 41.8081 | Acc: 0.557222 AT 9.52833 | val_Acc 0.575 | val_AT 9.12394| nb_modif 3 | elaps: 0s
Epoch 67/400: [===============] 100% | Error 41.8114 | Acc: 0.563333 AT 9.43667 | val_Acc 0.585 | val_AT 8.91562| nb_modif 3 | elaps: 0s
Epoch 68/400: [===============] 100% | Error 41.8149 | Acc: 0.557778 AT 9.49167 | val_Acc 0.575 | val_AT 9.13958| nb_modif 3 | elaps: 0s
Epoch 69/400: [===============] 100% | Error 41.8184 | Acc: 0.552778 AT 9.62056 | val_Acc 0.58 | val_AT 9.0057| nb_modif 3 | elaps: 0s
