Epoch 114/400: [===============] 100% | Error 34.257 | Acc: 0.791111 AT 5.24944 | val_Acc 0.82 | val_AT 4.56244| nb_modif 2 | elaps: 0s
Epoch 115/400: [===============] 100% | Error 34.2581 | Acc: 0.755 AT 5.89056 | val_Acc 0.8 | val_AT 4.90781| nb_modif 1 | elaps: 0s
Epoch 116/400: [===============] 100% | Error 34.2603 | Acc: 0.762778 AT 5.76222 | val_Acc 0.79 | val_AT 5.12954| nb_modif 2 | elaps: 0s
Epoch 117/400: [===============] 100% | Error 34.2741 | Acc: 0.761667 AT 5.74722 | val_Acc 0.75 | val_AT 5.84565| nb_modif 1 | elaps: 0s
Epoch 118/400: [===============] 100% | Error 34.2763 | Acc: 0.747778 AT 5.99 | val_Acc 0.77 | val_AT 5.46923| nb_modif 2 | elaps: 0s
Epoch 119/400: [===============] 100% | Error 34.2773 | Acc: 0.741111 AT 6.07889 | val_Acc 0.745 | val_AT 5.92235| nb_modif 1 | elaps: 0s
Epoch 120/400: [===============] 100% | Error 34.2785 | Acc: 0.765 AT 5.62389 | val_Acc 0.775 | val_AT 5.35461| nb_modif 1 | elaps: 0s
Epoch 121/400: [===============] 100% | Error 34.2807 | Acc: 0.760556 AT 5.70778 | val_Acc 0.765 | val_AT 5.55177| nb_modif 2 | elaps: 0s
Epoch 122/400: [===============] 100% | Error 34.2817 | Acc: 0.757778 AT 5.78611 | val_Acc 0.765 | val_AT 5.59776| nb_modif 1 | elaps: 0s
Epoch 123/400: [===============] 100% | Error 34.2829 | Acc: 0.762778 AT 5.72611 | val_Acc 0.745 | val_AT 5.94299| nb_modif 1 | elaps: 0s
Epoch 124/400: [===============] 100% | Error 34.2849 | Acc: 0.756667 AT 5.82278 | val_Acc 0.765 | val_AT 5.59971| nb_modif 2 | elaps: 0s
Epoch 125/400: [===============] 100% | Error 34.2859 | Acc: 0.758333 AT 5.79556 | val_Acc 0.76 | val_AT 5.638| nb_modif 1 | elaps: 0s
Epoch 126/400: [===============] 100% | Error 34.288 | Acc: 0.757222 AT 5.82556 | val_Acc 0.765 | val_AT 5.55319| nb_modif 2 | elaps: 0s
Epoch 127/400: [===============] 100% | Error 34.289 | Acc: 0.748889 AT 5.98167 | val_Acc 0.76 | val_AT 5.65777| nb_modif 1 | elaps: 0s
Epoch 128/400: [===============] 100% | Error 34.2911 | Acc: 0.722222 AT 6.45833 | val_Acc 0.74 | val_AT 6.02329| nb_modif 2 | elaps: 0s
Epoch 129/400: [===============] 100% | Error 34.3567 | Acc: 0.69 AT 7.05167 | val_Acc 0.74 | val_AT 6.02512| nb_modif 2 | elaps: 0s
Epoch 130/400: [===============] 100% | Error 34.3599 | Acc: 0.687778 AT 7.09556 | val_Acc 0.715 | val_AT 6.47013| nb_modif 3 | elaps: 0s
Epoch 131/400: [===============] 100% | Error 34.362 | Acc: 0.661111 AT 7.55056 | val_Acc 0.72 | val_AT 6.33735| nb_modif 2 | elaps: 0s
Epoch 132/400: [===============] 100% | Error 34.3684 | Acc: 0.639444 AT 7.93889 | val_Acc 0.71 | val_AT 6.52669| nb_modif 3 | elaps: 0s
Epoch 133/400: [===============] 100% | Error 34.4091 | Acc: 0.627222 AT 8.15389 | val_Acc 0.695 | val_AT 6.79763| nb_modif 2 | elaps: 0s
Epoch 134/400: [===============] 100% | Error 34.4284 | Acc: 0.626667 AT 8.15167 | val_Acc 0.69 | val_AT 6.90399| nb_modif 2 | elaps: 0s
Epoch 135/400: [===============] 100% | Error 34.4535 | Acc: 0.627222 AT 8.14 | val_Acc 0.695 | val_AT 6.79452| nb_modif 2 | elaps: 0s
Epoch 136/400: [===============] 100% | Error 34.4559 | Acc: 0.633889 AT 8.01444 | val_Acc 0.68 | val_AT 7.05897| nb_modif 2 | elaps: 0s
Epoch 137/400: [===============] 100% | Error 34.4572 | Acc: 0.642778 AT 7.83222 | val_Acc 0.67 | val_AT 7.22529| nb_modif 1 | elaps: 0s
Epoch 138/400: [===============] 100% | Error 34.4597 | Acc: 0.654444 AT 7.61 | val_Acc 0.68 | val_AT 7.02613| nb_modif 2 | elaps: 0s
Epoch 139/400: [===============] 100% | Error 34.4632 | Acc: 0.660556 AT 7.47611 | val_Acc 0.705 | val_AT 6.55013| nb_modif 3 | elaps: 0s
Epoch 140/400: [===============] 100% | Error 34.4654 | Acc: 0.667222 AT 7.34167 | val_Acc 0.71 | val_AT 6.44775| nb_modif 2 | elaps: 0s
Epoch 141/400: [===============] 100% | Error 34.4675 | Acc: 0.672778 AT 7.23222 | val_Acc 0.73 | val_AT 6.07224| nb_modif 2 | elaps: 0s
Epoch 142/400: [===============] 100% | Error 34.4696 | Acc: 0.687222 AT 6.96389 | val_Acc 0.77 | val_AT 5.31536| nb_modif 2 | elaps: 0s
Epoch 143/400: [===============] 100% | Error 34.4706 | Acc: 0.697222 AT 6.77389 | val_Acc 0.795 | val_AT 4.84658| nb_modif 1 | elaps: 0s
Epoch 144/400: [===============] 100% | Error 34.4914 | Acc: 0.712778 AT 6.48722 | val_Acc 0.795 | val_AT 4.84923| nb_modif 2 | elaps: 0s
Epoch 145/400: [===============] 100% | Error 34.4925 | Acc: 0.720556 AT 6.33611 | val_Acc 0.785 | val_AT 5.02925| nb_modif 1 | elaps: 0s
Epoch 146/400: [===============] 100% | Error 34.4945 | Acc: 0.725556 AT 6.24278 | val_Acc 0.77 | val_AT 5.30515| nb_modif 2 | elaps: 0s
Epoch 147/400: [===============] 100% | Error 34.4966 | Acc: 0.721111 AT 6.32556 | val_Acc 0.775 | val_AT 5.22653| nb_modif 2 | elaps: 0s
Epoch 148/400: [===============] 100% | Error 34.4977 | Acc: 0.713333 AT 6.475 | val_Acc 0.76 | val_AT 5.50113| nb_modif 1 | elaps: 0s
Epoch 149/400: [===============] 100% | Error 34.4998 | Acc: 0.713333 AT 6.47278 | val_Acc 0.74 | val_AT 5.89251| nb_modif 2 | elaps: 0s
Epoch 150/400: [===============] 100% | Error 34.502 | Acc: 0.702222 AT 6.68444 | val_Acc 0.725 | val_AT 6.18446| nb_modif 2 | elaps: 0s
Epoch 151/400: [===============] 100% | Error 34.5043 | Acc: 0.692222 AT 6.87556 | val_Acc 0.715 | val_AT 6.38092| nb_modif 2 | elaps: 0s
Epoch 152/400: [===============] 100% | Error 34.5067 | Acc: 0.690556 AT 6.92056 | val_Acc 0.735 | val_AT 6.0169| nb_modif 2 | elaps: 0s
Epoch 153/400: [===============] 100% | Error 34.5315 | Acc: 0.703333 AT 6.69056 | val_Acc 0.72 | val_AT 6.33008| nb_modif 2 | elaps: 0s
Epoch 154/400: [===============] 100% | Error 34.573 | Acc: 0.698333 AT 6.80278 | val_Acc 0.725 | val_AT 6.25665| nb_modif 2 | elaps: 0s
Epoch 155/400: [===============] 100% | Error 34.5752 | Acc: 0.709444 AT 6.61389 | val_Acc 0.735 | val_AT 6.08128| nb_modif 2 | elaps: 0s
Epoch 156/400: [===============] 100% | Error 34.6006 | Acc: 0.715 AT 6.51833 | val_Acc 0.725 | val_AT 6.25041| nb_modif 2 | elaps: 0s
Epoch 157/400: [===============] 100% | Error 34.6087 | Acc: 0.705556 AT 6.68889 | val_Acc 0.72 | val_AT 6.34625| nb_modif 2 | elaps: 0s
Epoch 158/400: [===============] 100% | Error 34.6109 | Acc: 0.703889 AT 6.72611 | val_Acc 0.73 | val_AT 6.15673| nb_modif 2 | elaps: 0s
Epoch 159/400: [===============] 100% | Error 34.6366 | Acc: 0.707222 AT 6.67 | val_Acc 0.725 | val_AT 6.25078| nb_modif 2 | elaps: 0s
Epoch 160/400: [===============] 100% | Error 34.6388 | Acc: 0.712222 AT 6.57167 | val_Acc 0.775 | val_AT 5.33625| nb_modif 2 | elaps: 0s
Epoch 161/400: [===============] 100% | Error 34.6399 | Acc: 0.736667 AT 6.13667 | val_Acc 0.775 | val_AT 5.32668| nb_modif 1 | elaps: 0s
Epoch 162/400: [===============] 100% | Error 34.641 | Acc: 0.736111 AT 6.14167 | val_Acc 0.79 | val_AT 5.05163| nb_modif 1 | elaps: 0s
Epoch 163/400: [===============] 100% | Error 34.6421 | Acc: 0.737222 AT 6.11 | val_Acc 0.78 | val_AT 5.23526| nb_modif 1 | elaps: 0s
Epoch 164/400: [===============] 100% | Error 34.6432 | Acc: 0.752222 AT 5.83667 | val_Acc 0.8 | val_AT 4.89118| nb_modif 1 | elaps: 0s
Epoch 165/400: [===============] 100% | Error 34.6442 | Acc: 0.756111 AT 5.76556 | val_Acc 0.81 | val_AT 4.69446| nb_modif 1 | elaps: 0s
Epoch 166/400: [===============] 100% | Error 34.6453 | Acc: 0.783889 AT 5.23889 | val_Acc 0.825 | val_AT 4.41847| nb_modif 1 | elaps: 0s
Epoch 167/400: [===============] 100% | Error 34.6463 | Acc: 0.787778 AT 5.17722 | val_Acc 0.815 | val_AT 4.60209| nb_modif 1 | elaps: 0s
Epoch 168/400: [===============] 100% | Error 34.6474 | Acc: 0.811667 AT 4.73667 | val_Acc 0.84 | val_AT 4.16801| nb_modif 1 | elaps: 0s
Epoch 169/400: [===============] 100% | Error 34.6721 | Acc: 0.806111 AT 4.845 | val_Acc 0.845 | val_AT 4.05084| nb_modif 2 | elaps: 0s
