Epoch 21/400: [===============] 100% | Error 45.4415 | Acc: 0.571667 AT 10.6567 | val_Acc 0.58 | val_AT 10.4254| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 45.4753 | Acc: 0.603889 AT 10.2878 | val_Acc 0.57 | val_AT 11.0221| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 45.4824 | Acc: 0.646667 AT 9.65222 | val_Acc 0.65 | val_AT 9.57011| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 45.4916 | Acc: 0.61 AT 10.4067 | val_Acc 0.56 | val_AT 11.1729| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 45.4987 | Acc: 0.587222 AT 10.6511 | val_Acc 0.645 | val_AT 9.64586| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 45.5045 | Acc: 0.612778 AT 10.1633 | val_Acc 0.75 | val_AT 7.93823| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 45.5121 | Acc: 0.62 AT 10.1278 | val_Acc 0.545 | val_AT 11.3447| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 45.5185 | Acc: 0.586111 AT 10.7833 | val_Acc 0.56 | val_AT 11.0567| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 45.5258 | Acc: 0.501667 AT 12.1317 | val_Acc 0.575 | val_AT 11.0203| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 45.5612 | Acc: 0.556111 AT 11.3917 | val_Acc 0.45 | val_AT 13.0651| nb_modif 8 | env_th 5 | elaps: 1s
Epoch 31/400: [===============] 100% | Error 45.5689 | Acc: 0.492222 AT 12.245 | val_Acc 0.575 | val_AT 10.7653| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 45.5768 | Acc: 0.518333 AT 11.4689 | val_Acc 0.615 | val_AT 9.80883| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 45.6052 | Acc: 0.579444 AT 10.3839 | val_Acc 0.58 | val_AT 10.134| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 45.6099 | Acc: 0.728889 AT 7.50111 | val_Acc 0.685 | val_AT 8.00567| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 45.6159 | Acc: 0.673889 AT 8.16778 | val_Acc 0.65 | val_AT 8.32003| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 45.6457 | Acc: 0.654444 AT 8.21944 | val_Acc 0.69 | val_AT 7.4566| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 45.6506 | Acc: 0.686111 AT 7.57 | val_Acc 0.685 | val_AT 7.45728| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 45.6576 | Acc: 0.638333 AT 8.23444 | val_Acc 0.63 | val_AT 8.24729| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 45.6645 | Acc: 0.656667 AT 7.88389 | val_Acc 0.66 | val_AT 7.83124| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 45.6688 | Acc: 0.697222 AT 7.23222 | val_Acc 0.685 | val_AT 7.49416| nb_modif 4 | env_th 5 | elaps: 0s
